u

Блок 1Aerogel
Название блока данных:     Aerogel
Дата регистрации данных:   03.05.2024
Время регистрации данных:  13-17-06
Комментарий пользователя:  Aerogel
Прибор:        P-20X8
Номер канала:  1

Цикл 2, Шаг 1
Физический номер цикла: 2
Комментарий пользователя к шагу данных: 
Приборный комментарий: Шаг завершен по пределу потенциала
Тип работы: Гальваностат
Потенциал РЦ "До" (Вольт)     : не измерялся
Потенциал РЦ "После" (Вольт)  : не измерялся
Потенциал установления (Вольт): не измерялся
Ток установления (Ампер)      : не измерялся
Скорость развертки: 0 A/с.
Количество точек данных: 681
Время, с.,                   Потенциал, В,                   Ток, А
1066                0,782702028751                0,000600105908                
1068                0,782702028751                0,000600105908                
1070                0,782918989658                0,000600105908                
1072                0,783134996891                0,000600105908                
1074                0,783134996891                0,000600105908                
1076                0,783351004124                0,000600105908                
1078                0,783351004124                0,000600105908                
1080                0,783568024635                0,000600105908                
1082                0,783783972263                0,000600105908                
1084                0,783783972263                0,000600105908                
1086                0,784000992775                0,000600105908                
1088                0,784000992775                0,000600105908                
1090                0,784217000008                0,000600105908                
1092                0,78443300724                0,000600105908                
1094                0,78443300724                0,000600105908                
1096                0,784650027752                0,000600105908                
1098                0,784650027752                0,000600105908                
1100                0,78486597538                0,000600105908                
1102                0,78486597538                0,000600105908                
1104                0,785082995892                0,000600105908                
1106                0,785299003124                0,000600105908                
1108                0,785299003124                0,000600105908                
1110                0,785515010357                0,000600105908                
1112                0,785515010357                0,000600105908                
1114                0,785731971264                0,000600105908                
1116                0,785947978497                0,000600105908                
1118                0,785947978497                0,000600105908                
1120                0,786163985729                0,000600105908                
1122                0,786163985729                0,000600105908                
1124                0,786381006241                0,000600105908                
1126                0,786381006241                0,000600105908                
1128                0,786597013474                0,000600105908                
